2025.08.31 18:27:50,741	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2025.08.31 18:27:50,793	INFO	1	org.l2jmobius.commons.threads.ThreadPool	ThreadPool: Initialized
2025.08.31 18:27:50,794	INFO	1	org.l2jmobius.commons.threads.ThreadPool	...scheduled pool executor with 2 total threads.
2025.08.31 18:27:50,794	INFO	1	org.l2jmobius.commons.threads.ThreadPool	...instant pool executor with 2 total threads.
2025.08.31 18:27:50,796	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2025.08.31 18:27:51,098	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2025.08.31 18:27:51,163	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2025.08.31 18:27:51,165	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2025.08.31 18:27:51,199	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2025.08.31 18:27:51,201	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2025.08.31 18:27:51,202	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2025.08.31 18:27:51,209	INFO	37	org.l2jmobius.commons.network.NetServer	LoginServer: Listening on port 2106 for incoming connections.
2025.08.31 18:28:01,894	INFO	40	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2025.08.31 18:28:01,895	INFO	40	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2025.08.31 18:28:01,895	INFO	40	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2025.08.31 18:28:01,896	INFO	40	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2025.08.31 18:28:01,896	INFO	40	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
